id,rollout/opd_reverse_kl,rollout/truncated,rollout/response_lengths,rollout/log_probs,rollout/teacher_log_probs,rollout/ref_log_probs,train/loss,train/pg_loss,train/kl_loss,train/entropy_loss,train/grad_norm,train/lr-pg_0
309,0.103846,0.878906,3939.152344,-0.295924,-0.399770,-0.361774,0.103846,0.103846,0.066651,0.295924,0.373578,0.000002
310,0.103411,0.886719,3996.550781,-0.299816,-0.403227,-0.368032,0.103411,0.103411,0.068249,0.299665,0.385988,0.000002
311,0.098972,0.867188,3983.406250,-0.301689,-0.400660,-0.369446,0.098972,0.098972,0.068019,0.301918,0.372130,0.000002
312,0.102407,0.960938,4049.761719,-0.298997,-0.401404,-0.366233,0.102407,0.102407,0.066866,0.298599,0.367670,0.000002
313,0.103395,0.855469,3954.066406,-0.304777,-0.408172,-0.372946,0.103395,0.103395,0.068548,0.305032,0.379289,0.000002
314,0.097488,0.933594,4041.625000,-0.303454,-0.400942,-0.373582,0.097488,0.097488,0.069896,0.302604,0.371385,0.000002
315,0.095242,0.925781,4014.234375,-0.288977,-0.384219,-0.354506,0.095242,0.095242,0.065825,0.288677,0.360618,0.000002
316,0.115154,0.921875,4006.324219,-0.336075,-0.451229,-0.410497,0.115154,0.115154,0.074801,0.335158,0.406282,0.000002
317,0.103004,0.875000,3976.730469,-0.300290,-0.403294,-0.369140,0.103005,0.103005,0.068969,0.299724,0.382329,0.000002
318,0.102709,0.929688,4025.875000,-0.300673,-0.403382,-0.368701,0.102709,0.102709,0.068088,0.299934,0.402967,0.000002
319,0.102639,0.953125,4057.250000,-0.297253,-0.399892,-0.364764,0.102639,0.102639,0.067807,0.296398,0.401252,0.000002
320,0.105339,0.953125,4053.421875,-0.305177,-0.410515,-0.374389,0.105339,0.105339,0.068965,0.304325,0.378853,0.000002
321,0.101052,0.957031,4042.390625,-0.289141,-0.390193,-0.353065,0.101052,0.101052,0.064184,0.288751,0.485110,0.000002
322,0.106065,0.953125,4027.812500,-0.310491,-0.416557,-0.379186,0.106065,0.106065,0.068653,0.309532,0.384339,0.000002
323,0.103929,0.871094,3999.937500,-0.314379,-0.418308,-0.386179,0.103929,0.103929,0.071850,0.313811,0.496589,0.000002
324,0.095747,0.933594,4035.574219,-0.289393,-0.385140,-0.355084,0.095747,0.095747,0.066045,0.289118,0.367364,0.000002
325,0.100135,0.945312,4044.019531,-0.299768,-0.399903,-0.367438,0.100135,0.100135,0.067867,0.298856,0.386010,0.000002
326,0.108692,0.937500,4018.789062,-0.306436,-0.415128,-0.372603,0.108692,0.108692,0.066506,0.307312,0.485837,0.000002
327,0.097583,0.890625,3987.324219,-0.288343,-0.385926,-0.352915,0.097583,0.097583,0.065032,0.287650,0.401102,0.000002
328,0.103676,0.859375,3915.582031,-0.305153,-0.408829,-0.375140,0.103676,0.103676,0.069767,0.303788,0.390923,0.000002
329,0.103401,0.902344,3987.902344,-0.302771,-0.406172,-0.369783,0.103401,0.103401,0.066980,0.302712,0.385361,0.000002
330,0.096875,0.953125,4054.597656,-0.290566,-0.387441,-0.355538,0.096875,0.096875,0.065146,0.290075,0.383085,0.000002
331,0.101926,0.960938,4049.648438,-0.298638,-0.400564,-0.365265,0.101926,0.101926,0.066888,0.298688,0.373705,0.000002
332,0.107817,0.890625,3958.695312,-0.307315,-0.415131,-0.376285,0.107817,0.107817,0.069496,0.307087,0.396142,0.000002
333,0.102173,0.906250,3993.574219,-0.296929,-0.399102,-0.363900,0.102173,0.102173,0.066877,0.295246,0.455469,0.000002
334,0.102652,0.957031,4080.996094,-0.307345,-0.409997,-0.374268,0.102652,0.102652,0.067514,0.307454,0.358867,0.000002
335,0.102790,0.933594,4026.492188,-0.305130,-0.407920,-0.373526,0.102790,0.102790,0.068299,0.303785,0.394580,0.000002
336,0.107045,0.898438,4031.738281,-0.311778,-0.418823,-0.381975,0.107045,0.107045,0.070152,0.312140,0.397221,0.000002
337,0.097777,0.960938,4075.328125,-0.288426,-0.386203,-0.353100,0.097777,0.097777,0.065019,0.288165,0.365021,0.000002
338,0.104304,0.914062,4018.250000,-0.307983,-0.412287,-0.377320,0.104304,0.104304,0.069311,0.307345,0.369162,0.000002
339,0.100335,0.890625,4009.101562,-0.294415,-0.394750,-0.359823,0.100335,0.100335,0.066013,0.295203,0.409999,0.000002
340,0.101381,0.937500,4052.378906,-0.301183,-0.402564,-0.370477,0.101381,0.101381,0.068916,0.299995,0.377451,0.000002
341,0.102464,0.968750,4071.628906,-0.305511,-0.407975,-0.374415,0.102464,0.102464,0.069153,0.304866,0.360935,0.000002
342,0.105708,0.957031,4053.910156,-0.306497,-0.412205,-0.374579,0.105708,0.105708,0.068269,0.306220,0.368457,0.000002
343,0.104162,0.894531,4026.925781,-0.305367,-0.409530,-0.374727,0.104162,0.104162,0.069396,0.304702,0.375719,0.000002
344,0.095447,0.902344,4007.789062,-0.289880,-0.385327,-0.355621,0.095447,0.095447,0.065748,0.289918,0.416404,0.000002
345,0.099660,0.914062,4026.484375,-0.301458,-0.401118,-0.371143,0.099660,0.099660,0.069701,0.300266,0.382452,0.000002
346,0.102609,0.878906,3961.191406,-0.298513,-0.401122,-0.367419,0.102609,0.102609,0.068652,0.297774,0.396886,0.000002
347,0.106094,0.894531,3948.050781,-0.316110,-0.422204,-0.388153,0.106094,0.106094,0.071781,0.314852,0.392859,0.000002
348,0.102439,0.906250,4001.441406,-0.301057,-0.403496,-0.369029,0.102439,0.102439,0.068280,0.301600,0.381575,0.000002
349,0.103016,0.910156,4005.429688,-0.308571,-0.411587,-0.379591,0.103016,0.103016,0.071550,0.309362,0.405824,0.000002
350,0.092723,0.976562,4087.851562,-0.291012,-0.383735,-0.356540,0.092723,0.092723,0.065382,0.289967,0.344404,0.000002
351,0.103472,0.917969,4048.492188,-0.290196,-0.393669,-0.356583,0.103472,0.103472,0.066360,0.289735,0.402061,0.000002
