id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
193,0.105862,0.105800,0.105800,0.060933,0.071229,0.937500,4042.460938
194,0.102186,0.102213,0.102213,0.061227,0.072126,0.929688,4022.328125
195,0.109311,0.109250,0.109250,0.062248,0.071078,0.925781,4000.562500
196,0.107755,0.107758,0.107758,0.061519,0.073690,0.882812,3986.914062
197,0.099901,0.099889,0.099889,0.058911,0.068023,0.898438,3987.386719
198,0.097110,0.097026,0.097026,0.054919,0.066749,0.906250,4006.972656
199,0.101194,0.101110,0.101110,0.057538,0.070557,0.902344,4009.742188
200,0.102637,0.102618,0.102618,0.059868,0.071869,0.941406,4042.988281
201,0.108130,0.108120,0.108120,0.060262,0.074760,0.917969,4019.917969
202,0.104049,0.104016,0.104016,0.057804,0.263521,0.902344,3986.820312
203,0.104910,0.104894,0.104894,0.060387,0.070722,0.933594,4072.679688
204,0.104722,0.104682,0.104682,0.060460,0.067706,0.914062,4010.328125
205,0.105503,0.105438,0.105438,0.058379,0.068225,0.960938,4068.902344
206,0.097589,0.097586,0.097586,0.056834,0.066419,0.960938,4069.042969
207,0.109394,0.109382,0.109382,0.057504,0.074774,0.949219,4054.808594
208,0.104274,0.104207,0.104207,0.058710,0.072274,0.902344,4008.453125
209,0.100204,0.100095,0.100095,0.056631,0.079050,0.859375,3956.898438
210,0.100529,0.100515,0.100515,0.059720,0.070305,0.921875,4021.296875
211,0.098099,0.098028,0.098028,0.059208,0.070148,0.859375,3977.058594
212,0.102966,0.102919,0.102919,0.061048,0.066295,0.957031,4075.984375
213,0.135656,0.135623,0.135623,0.060047,10.148185,0.929688,4022.246094
214,0.101229,0.101158,0.101158,0.058676,0.070500,0.867188,3971.265625
215,0.102896,0.102799,0.102799,0.058631,0.068400,0.878906,3952.941406
216,0.096914,0.096930,0.096930,0.058199,0.071929,0.890625,3980.652344
217,0.092706,0.092643,0.092643,0.055547,0.066488,0.929688,4053.855469
218,0.107542,0.107554,0.107554,0.062692,0.076096,0.929688,3973.929688
219,0.098372,0.098311,0.098311,0.059114,0.068592,0.921875,4033.910156
220,0.108810,0.108803,0.108803,0.061423,0.072216,0.937500,4051.929688
221,0.104404,0.104414,0.104414,0.059749,0.070724,0.917969,4018.109375
222,0.107301,0.107197,0.107197,0.061069,0.069939,0.941406,4053.906250
